Zeit_in_Sekunden,Note,Anschlagstärke
0.302,64,81
0.314,76,60
0.592,57,76
0.697,76,48
0.697,64,73
0.835,64,60
0.859,60,75
1.115,57,95
1.266,60,62
1.393,64,62
1.521,57,98
1.672,57,76
1.776,60,55
1.939,60,85
2.045,57,72
2.196,57,91
2.463,64,70
2.463,60,52
2.579,57,67
2.846,64,86
2.997,64,67
3.008,60,94
3.403,60,74
3.577,64,86
3.96,64,52
4.078,60,106
4.309,76,45
4.473,60,81
4.623,64,82
4.902,57,75
5.018,76,41
5.03,64,63
5.193,60,91
5.261,41,44
5.448,57,94
5.459,76,32
5.599,60,45
5.726,64,47
5.843,57,91
5.983,57,69
6.25,60,88
6.366,57,71
6.517,57,95
6.656,60,92
6.784,64,75
6.796,60,52
6.911,57,84
7.063,57,68
7.179,64,88
7.33,64,71
7.33,60,97
7.725,60,76
7.899,64,88
8.283,64,54
8.399,60,104
8.667,76,44
8.794,60,78
8.91,33,66
8.945,45,59
8.956,64,68
8.956,52,47
9.235,40,56
9.247,57,57
9.386,64,57
9.398,45,62
9.514,60,85
9.549,45,71
9.757,40,45
9.769,57,78
9.769,52,52
9.769,45,66
9.781,33,54
9.92,60,34
10.038,64,60
10.06,60,54
10.304,57,69
10.583,60,76
10.85,57,70
10.978,60,83
11.117,64,53
11.129,60,95
11.152,31,50
11.233,57,55
11.256,38,44
11.268,50,41
11.315,60,66
11.407,38,67
11.511,64,68
11.511,57,66
11.651,60,71
11.651,57,51
11.663,64,79
11.814,60,66
11.92,69,37
11.954,50,52
12.024,31,53
12.035,64,73
12.186,60,85
12.209,64,75
12.384,64,72
12.453,60,73
12.581,64,79
12.721,60,83
12.732,72,39
12.732,64,75
12.976,64,65
12.999,60,82
13.243,41,57
13.278,60,70
13.29,64,74
13.29,48,60
13.301,29,65
13.533,64,66
13.545,60,61
13.568,57,54
13.649,48,47
13.824,64,75
13.847,60,49
14.092,57,81
14.359,64,77
14.486,57,80
14.638,57,88
